id,session_id,task_id,task_no,score,max_score,users_answer,submission_time,verdict
10380987,355301,9989,4,0,1,{"solution": 28},2019-10-14 06:53:47.791091+00,wrong
10380988,355301,9992,5,0,1,{"solution": 9},2019-10-14 07:02:22.350503+00,wrong
10380989,355301,9994,6,1,1,{"solution": 3},2019-10-14 07:04:17.746363+00,ok
10380990,355301,9998,7,0,1,{"solution": 2},2019-10-14 07:10:56.79635+00,wrong
10380991,355301,9999,8,0,1,{"solution": 16},2019-10-14 07:22:25.633535+00,wrong
10381116,355302,9980,1,0,1,{"solution": 3},2019-10-14 06:30:27.400203+00,wrong
10381117,355302,9985,2,0,1,{"solution": 8},2019-10-14 06:34:28.16961+00,wrong
10381118,355302,9987,3,0,1,{"solution": "ACDBE"},2019-10-14 06:41:29.062411+00,wrong
10381119,355302,9990,4,0,1,{"solution": 42},2019-10-14 06:53:27.871753+00,wrong
10381120,355302,9993,5,0,1,{"solution": 9},2019-10-14 06:56:55.823102+00,wrong
10381121,355302,9994,6,1,1,{"solution": 3},2019-10-14 07:19:08.066509+00,ok
10381122,355302,9998,7,1,1,{"solution": 5},2019-10-14 07:04:03.599248+00,ok
10381123,355302,9999,8,0,1,{"solution": 20},2019-10-14 07:23:29.289721+00,wrong
10379686,355304,9981,1,1,1,{"solution": 16},2019-10-14 06:31:02.634265+00,ok
10379687,355304,9985,2,0,1,{"solution": 4},2019-10-14 06:32:05.185076+00,wrong
10379688,355304,9987,3,1,1,{"solution": "ECBAD"},2019-10-14 06:42:31.524216+00,ok
10379689,355304,9989,4,0,1,{"solution": 30},2019-10-14 06:44:25.417985+00,wrong
10379690,355304,9992,5,0,1,{"solution": 9},2019-10-14 06:46:18.852171+00,wrong
10379691,355304,9994,6,0,1,{"solution": 56},2019-10-14 07:00:49.848489+00,wrong
10379692,355304,9998,7,0,1,{"solution": 4568},2019-10-14 06:58:22.734421+00,wrong
10379693,355304,10002,8,0,1,{"solution": 19},2019-10-14 07:04:51.782618+00,wrong
10380772,355305,9982,1,0,1,{"solution": 4},2019-10-14 06:30:51.684222+00,wrong
10380773,355305,9985,2,1,1,{"solution": 39},2019-10-14 06:37:14.204872+00,ok
10380774,355305,9987,3,0,1,{"solution": "ADBCE"},2019-10-14 06:40:04.890884+00,wrong
10380775,355305,9991,4,1,1,{"solution": 29},2019-10-14 06:42:50.874826+00,ok
10380776,355305,9993,5,0,1,{"solution": 9},2019-10-14 06:44:33.702514+00,wrong
10380777,355305,9997,6,1,1,{"solution": 2},2019-10-14 07:04:54.926681+00,ok
10380778,355305,9998,7,1,1,{"solution": 5},2019-10-14 07:03:53.206435+00,ok
10380779,355305,10002,8,0,1,{"solution": 19},2019-10-14 07:18:24.184627+00,wrong
10380351,355307,9982,1,0,1,{"solution": 4},2019-10-14 06:30:30.273409+00,wrong
10380352,355307,9983,2,0,1,{"solution": 38},2019-10-14 06:32:06.729826+00,wrong
10380353,355307,9987,3,0,1,{"solution": "ACBED"},2019-10-14 06:34:41.842377+00,wrong
10380354,355307,9990,4,0,1,{"solution": 33},2019-10-14 06:39:54.492905+00,wrong
10380355,355307,9992,5,0,1,{"solution": 9},2019-10-14 06:36:45.225083+00,wrong
10380356,355307,9997,6,0,1,{"solution": 4},2019-10-14 07:00:02.943135+00,wrong
10380357,355307,9998,7,0,1,{"solution": 8},2019-10-14 06:41:19.402995+00,wrong
10380358,355307,10002,8,0,1,{"solution": 10},2019-10-14 06:46:16.576127+00,wrong
10380105,355308,9982,1,0,1,{"solution": 4},2019-10-14 06:29:37.871905+00,wrong
10380106,355308,9986,2,0,1,{"solution": 38},2019-10-14 06:31:58.352434+00,wrong
10380107,355308,9987,3,0,1,{"solution": "ACBED"},2019-10-14 06:33:39.801387+00,wrong
10380108,355308,9990,4,0,1,{"solution": 33},2019-10-14 06:34:35.659024+00,wrong
10380109,355308,9993,5,0,1,{"solution": 9},2019-10-14 06:35:23.96136+00,wrong
10380110,355308,9997,6,0,1,{"solution": 4},2019-10-14 07:00:07.50556+00,wrong
10380111,355308,9998,7,0,1,{"solution": 8},2019-10-14 06:41:14.219522+00,wrong
10380112,355308,10002,8,0,1,{"solution": 10},2019-10-14 06:44:18.138256+00,wrong
10381338,355309,9980,1,0,1,{"solution": 4},2019-10-14 06:31:06.999122+00,wrong
10381339,355309,9985,2,1,1,{"solution": 39},2019-10-14 06:44:13.360668+00,ok
10381340,355309,9987,3,1,1,{"solution": "ecbad"},2019-10-14 06:45:07.244732+00,ok
10381341,355309,9990,4,0,1,{"solution": 33},2019-10-14 07:23:50.106579+00,wrong
10381342,355309,9992,5,0,1,{"solution": 9},2019-10-14 06:55:34.67482+00,wrong
10381343,355309,9996,6,0,1,{"solution": 14},2019-10-14 07:18:30.803834+00,wrong
10381344,355309,9998,7,0,1,{"solution": 2},2019-10-14 07:03:37.098237+00,wrong
10381345,355309,10001,8,0,1,{"solution": 19},2019-10-14 07:25:37.355207+00,wrong
10381378,355310,9980,1,0,1,{"solution": 2},2019-10-14 07:12:15.60253+00,wrong
10381379,355310,9986,2,1,1,{"solution": 37},2019-10-14 06:44:25.737049+00,ok
10381380,355310,9987,3,0,1,{"solution": "ADCBE"},2019-10-14 06:44:32.167549+00,wrong
10381381,355310,9990,4,0,1,{"solution": 42},2019-10-14 06:47:45.058493+00,wrong
10381382,355310,9993,5,0,1,{"solution": 9},2019-10-14 06:50:51.094053+00,wrong
10381383,355310,9995,6,0,1,{"solution": 6},2019-10-14 07:27:05.850723+00,wrong
10381384,355310,9998,7,0,1,{"solution": 3},2019-10-14 07:20:34.83288+00,wrong
10381385,355310,10000,8,0,1,{"solution": 19},2019-10-14 07:25:47.979426+00,wrong
10378561,355312,9981,1,0,1,,,none
10378562,355312,9986,2,0,1,,,none
10378563,355312,9987,3,0,1,,,none
10378564,355312,9990,4,0,1,,,none
10378565,355312,9992,5,0,1,,,none
10378566,355312,9994,6,0,1,,,none
10378567,355312,9998,7,0,1,,,none
10378568,355312,10002,8,0,1,,,none
10378887,355313,9979,1,0,1,{"solution": 3},2019-10-14 06:39:09.351692+00,wrong
10378888,355313,9985,2,0,1,{"solution": 8},2019-10-14 06:39:11.532366+00,wrong
10378889,355313,9987,3,0,1,{"solution": "ddbce"},2019-10-14 06:39:13.156078+00,wrong
10378890,355313,9991,4,0,1,{"solution": 26},2019-10-14 06:40:19.569771+00,wrong
10378891,355313,9993,5,0,1,{"solution": 6},2019-10-14 06:45:05.652883+00,wrong
10378892,355313,9997,6,0,1,{"solution": 53},2019-10-14 06:48:49.719868+00,wrong
10378893,355313,9998,7,0,1,{"solution": 7},2019-10-14 06:52:01.375299+00,wrong
10378894,355313,10001,8,0,1,{"solution": 16},2019-10-14 06:53:16.345176+00,wrong
10380359,355316,9980,1,0,1,{"solution": 4},2019-10-14 06:30:49.328166+00,wrong
10380360,355316,9985,2,0,1,{"solution": 38},2019-10-14 06:32:22.887757+00,wrong
10380361,355316,9987,3,0,1,{"solution": "ACBED"},2019-10-14 06:35:23.625899+00,wrong
10380362,355316,9990,4,0,1,{"solution": 33},2019-10-14 06:40:09.244122+00,wrong
10380363,355316,9992,5,0,1,{"solution": 9},2019-10-14 06:38:38.207077+00,wrong
10380364,355316,9996,6,0,1,{"solution": 4},2019-10-14 07:04:50.234601+00,wrong
10380365,355316,9998,7,0,1,{"solution": 8},2019-10-14 06:51:30.927543+00,wrong
10380366,355316,10002,8,0,1,{"solution": 10},2019-10-14 06:47:01.533107+00,wrong
10381386,355317,9979,1,0,1,{"solution": 13},2019-10-14 07:01:53.686454+00,wrong
10381387,355317,9986,2,0,1,{"solution": 44},2019-10-14 07:02:04.9709+00,wrong
10381388,355317,9987,3,1,1,{"solution": "ECBAD"},2019-10-14 07:03:54.611695+00,ok
10381389,355317,9989,4,0,1,{"solution": 30},2019-10-14 07:06:28.525242+00,wrong
10381390,355317,9993,5,0,1,{"solution": 9},2019-10-14 07:20:32.261094+00,wrong
10381391,355317,9995,6,0,1,{"solution": 110},2019-10-14 07:26:31.892139+00,wrong
10381392,355317,9998,7,1,1,{"solution": 5},2019-10-14 07:24:27.144428+00,ok
10381393,355317,10000,8,0,1,{"solution": 19},2019-10-14 07:25:07.734953+00,wrong
10380367,355319,9982,1,0,1,{"solution": 5},2019-10-14 06:32:38.514842+00,wrong
10380368,355319,9986,2,1,1,{"solution": 37},2019-10-14 06:39:19.504836+00,ok
10380369,355319,9987,3,0,1,"{""solution"": ""D,B,A,C,E""}",2019-10-14 06:44:41.669591+00,wrong
10380370,355319,9989,4,0,1,{"solution": 44},2019-10-14 06:56:45.190995+00,wrong
10380371,355319,9993,5,1,1,{"solution": 5},2019-10-14 06:51:44.835177+00,ok
10380372,355319,9996,6,1,1,{"solution": 1},2019-10-14 07:03:06.814706+00,ok
10380373,355319,9998,7,0,1,{"solution": 3},2019-10-14 07:06:46.160795+00,wrong
10380374,355319,10002,8,1,1,{"solution": 14},2019-10-14 07:12:35.001165+00,ok
10379694,355320,9982,1,0,1,{"solution": 10},2019-10-14 06:33:58.023884+00,wrong
10379695,355320,9983,2,0,1,{"solution": 39},2019-10-14 06:37:04.091376+00,wrong
10379696,355320,9987,3,0,1,{"solution": "ACBDE"},2019-10-14 06:41:07.497254+00,wrong
10379697,355320,9989,4,0,1,{"solution": 14},2019-10-14 06:49:52.548474+00,wrong
10379698,355320,9993,5,0,1,{"solution": 9},2019-10-14 06:54:54.05201+00,wrong
10379699,355320,9997,6,0,1,{"solution": 7},2019-10-14 06:58:19.429601+00,wrong
10379700,355320,9998,7,0,1,{"solution": 6},2019-10-14 07:02:09.537622+00,wrong
10379701,355320,9999,8,0,1,{"solution": 48},2019-10-14 07:04:19.889638+00,wrong
10380604,355333,9982,1,0,1,{"solution": 10},2019-10-14 06:33:54.883371+00,wrong
10380605,355333,9986,2,0,1,{"solution": 3},2019-10-14 06:36:43.128044+00,wrong
10380606,355333,9987,3,0,1,{"solution": "ACBDE"},2019-10-14 06:40:55.432868+00,wrong
10380607,355333,9989,4,0,1,{"solution": 22},2019-10-14 06:51:06.021227+00,wrong
10380608,355333,9993,5,0,1,{"solution": 9},2019-10-14 06:55:50.147087+00,wrong
10380609,355333,9994,6,1,1,{"solution": 3},2019-10-14 07:08:46.648077+00,ok
10380610,355333,9998,7,0,1,{"solution": 9},2019-10-14 07:02:05.442052+00,wrong
10380611,355333,10002,8,0,1,{"solution": 20},2019-10-14 07:17:05.104374+00,wrong
10379512,355334,9979,1,0,1,{"solution": 10},2019-10-14 06:32:50.887447+00,wrong
10379513,355334,9986,2,0,1,{"solution": 24},2019-10-14 06:34:36.195761+00,wrong
10379514,355334,9987,3,0,1,{"solution": "B D C A"},2019-10-14 06:39:13.12474+00,wrong
10379515,355334,9988,4,0,1,{"solution": 21},2019-10-14 06:41:19.98465+00,wrong
10379516,355334,9993,5,0,1,{"solution": 9},2019-10-14 06:42:49.561486+00,wrong
10379517,355334,9997,6,0,1,{"solution": 5},2019-10-14 06:44:32.863307+00,wrong
10379518,355334,9998,7,0,1,{"solution": 3},2019-10-14 06:54:01.319901+00,wrong
10379519,355334,10002,8,0,1,{"solution": 20},2019-10-14 06:59:24.359181+00,wrong
10380612,355335,9981,1,0,1,{"solution": 14},2019-10-14 06:46:52.98999+00,wrong
10380613,355335,9983,2,0,1,{"solution": 8},2019-10-14 06:47:02.996924+00,wrong
10380614,355335,9987,3,0,1,{"solution": "DBACE"},2019-10-14 06:50:56.917546+00,wrong
10380615,355335,9989,4,0,1,{"solution": 22},2019-10-14 06:54:43.881888+00,wrong
10380616,355335,9992,5,0,1,{"solution": 9},2019-10-14 06:57:21.727762+00,wrong
10380617,355335,9994,6,1,1,{"solution": 3},2019-10-14 07:09:42.259349+00,ok
10380618,355335,9998,7,0,1,{"solution": 4},2019-10-14 07:03:24.16596+00,wrong
10380619,355335,10002,8,0,1,{"solution": 20},2019-10-14 07:17:44.513508+00,wrong
10379860,355337,9979,1,0,1,{"solution": 5},2019-10-14 06:36:28.901699+00,wrong
10379861,355337,9983,2,1,1,{"solution": 35},2019-10-14 06:39:31.498724+00,ok
10379862,355337,9987,3,0,1,{"solution": "DABCE"},2019-10-14 06:42:48.124752+00,wrong
10379863,355337,9991,4,0,1,{"solution": 21},2019-10-14 06:54:42.338758+00,wrong
10379864,355337,9992,5,1,1,{"solution": 7},2019-10-14 06:53:00.034281+00,ok
10379865,355337,9994,6,1,1,{"solution": 3},2019-10-14 06:58:50.065342+00,ok
10379866,355337,9998,7,0,1,{"solution": 2},2019-10-14 07:04:31.834991+00,wrong
10379867,355337,10002,8,0,1,,,none
10383146,355519,9982,1,0,1,{"solution": 9},2019-10-14 07:07:48.019789+00,wrong
10383147,355519,9984,2,1,1,{"solution": 36},2019-10-14 07:08:55.989843+00,ok
10383148,355519,9987,3,0,1,,,none
10383149,355519,9989,4,0,1,,,none
10383150,355519,9992,5,0,1,,,none
10383151,355519,9997,6,0,1,,,none
10383152,355519,9998,7,0,1,,,none
10383153,355519,9999,8,0,1,,,none
10384692,355574,9980,1,1,1,{"solution": 8},2019-10-14 07:38:47.728705+00,ok
10384693,355574,9984,2,1,1,{"solution": 36},2019-10-14 07:42:43.816157+00,ok
10384694,355574,9987,3,0,1,{"solution": "ACBDE"},2019-10-14 07:55:31.794834+00,wrong
10384695,355574,9991,4,0,1,{"solution": 30},2019-10-14 08:06:16.516626+00,wrong
10384696,355574,9992,5,1,1,{"solution": 7},2019-10-14 08:14:30.489663+00,ok
10384697,355574,9995,6,0,1,{"solution": 43},2019-10-14 08:13:32.265954+00,wrong
10384698,355574,9998,7,0,1,{"solution": 3},2019-10-14 08:18:54.702149+00,wrong
10384699,355574,10002,8,0,1,{"solution": 17},2019-10-14 08:25:06.974311+00,wrong
10383945,355575,9982,1,0,1,{"solution": 6},2019-10-14 07:38:33.923437+00,wrong
10383946,355575,9985,2,1,1,{"solution": 39},2019-10-14 07:42:13.428228+00,ok
10383947,355575,9987,3,1,1,{"solution": "ECBAD"},2019-10-14 08:07:38.062403+00,ok
10383948,355575,9991,4,0,1,{"solution": 31},2019-10-14 07:52:43.893562+00,wrong
10383949,355575,9992,5,1,1,{"solution": 7},2019-10-14 08:11:27.377257+00,ok
10383950,355575,9997,6,1,1,{"solution": 2},2019-10-14 08:16:01.252891+00,ok
10383951,355575,9998,7,1,1,{"solution": 5},2019-10-14 07:55:24.985712+00,ok
10383952,355575,9999,8,0,1,{"solution": 8},2019-10-14 08:03:33.861692+00,wrong
10384700,355577,9982,1,0,1,{"solution": 9},2019-10-14 07:45:23.681375+00,wrong
10384701,355577,9984,2,0,1,{"solution": 34},2019-10-14 07:52:00.938817+00,wrong
10384702,355577,9987,3,0,1,{"solution": "ECABD"},2019-10-14 07:56:09.962401+00,wrong
10384703,355577,9989,4,0,1,{"solution": 32},2019-10-14 08:13:13.460651+00,wrong
10384704,355577,9992,5,0,1,,,none
10384705,355577,9994,6,0,1,{"solution": 43},2019-10-14 08:23:39.581149+00,wrong
10384706,355577,9998,7,1,1,{"solution": 5},2019-10-14 08:19:18.228129+00,ok
10384707,355577,10002,8,0,1,,,none
10383659,355578,9982,1,0,1,{"solution": 2},2019-10-14 07:40:40.744739+00,wrong
10383660,355578,9985,2,0,1,{"solution": 12},2019-10-14 07:46:59.338031+00,wrong
10383661,355578,9987,3,0,1,{"solution": "ECABD"},2019-10-14 07:53:03.588491+00,wrong
10383662,355578,9988,4,0,1,{"solution": 22},2019-10-14 08:05:59.574253+00,wrong
10383663,355578,9992,5,0,1,{"solution": 9},2019-10-14 08:03:17.573356+00,wrong
10383664,355578,9994,6,0,1,{"solution": 12},2019-10-14 08:07:17.952072+00,wrong
10383665,355578,9998,7,0,1,{"solution": 9},2019-10-14 08:13:40.758093+00,wrong
10383666,355578,9999,8,1,1,{"solution": 12},2019-10-14 08:05:32.514754+00,ok
10383130,355579,9982,1,0,1,{"solution": 12},2019-10-14 07:40:39.476777+00,wrong
10383131,355579,9984,2,1,1,{"solution": 36},2019-10-14 07:45:25.549683+00,ok
10383132,355579,9987,3,0,1,{"solution": "DABCE"},2019-10-14 07:50:54.853091+00,wrong
10383133,355579,9989,4,0,1,{"solution": 28},2019-10-14 07:55:45.260282+00,wrong
10383134,355579,9993,5,1,1,{"solution": 5},2019-10-14 07:58:59.430335+00,ok
10383135,355579,9995,6,1,1,{"solution": 4},2019-10-14 08:01:06.043921+00,ok
10383136,355579,9998,7,1,1,{"solution": 5},2019-10-14 08:04:15.275748+00,ok
10383137,355579,10000,8,0,1,{"solution": 20},2019-10-14 08:05:25.504075+00,wrong
10384329,355580,9980,1,0,1,{"solution": 3},2019-10-14 07:40:51.722868+00,wrong
10384330,355580,9985,2,0,1,{"solution": 37},2019-10-14 07:45:09.916041+00,wrong
10384331,355580,9987,3,0,1,{"solution": "DBCAE"},2019-10-14 07:49:24.426811+00,wrong
10384332,355580,9989,4,0,1,{"solution": 30},2019-10-14 07:54:11.482236+00,wrong
10384333,355580,9993,5,1,1,{"solution": 5},2019-10-14 07:58:08.889029+00,ok
10384334,355580,9995,6,1,1,{"solution": 4},2019-10-14 08:05:05.481624+00,ok
10384335,355580,9998,7,0,1,{"solution": 1235},2019-10-14 08:14:51.128987+00,wrong
10384336,355580,10002,8,0,1,{"solution": 16},2019-10-14 08:20:21.874932+00,wrong
10383402,355582,9980,1,0,1,{"solution": 7},2019-10-14 07:40:31.660539+00,wrong
10383403,355582,9986,2,0,1,{"solution": 17},2019-10-14 07:44:19.559662+00,wrong
10383404,355582,9987,3,0,1,{"solution": "ABCDE"},2019-10-14 07:47:34.93061+00,wrong
10383405,355582,9990,4,0,1,{"solution": 54},2019-10-14 07:51:21.054616+00,wrong
10383406,355582,9992,5,0,1,{"solution": 5},2019-10-14 08:08:41.888785+00,wrong
10383407,355582,9996,6,0,1,{"solution": 75},2019-10-14 08:08:09.937121+00,wrong
10383408,355582,9998,7,1,1,{"solution": 5},2019-10-14 07:56:51.434426+00,ok
10383409,355582,10000,8,0,1,{"solution": 8},2019-10-14 08:01:47.148077+00,wrong
10384808,355583,9980,1,0,1,{"solution": 4},2019-10-14 07:57:44.992649+00,wrong
10384809,355583,9984,2,0,1,{"solution": 46},2019-10-14 07:46:55.646632+00,wrong
10384810,355583,9987,3,0,1,{"solution": "EDBCA"},2019-10-14 07:53:17.354426+00,wrong
10384811,355583,9990,4,0,1,{"solution": 21},2019-10-14 07:54:58.387876+00,wrong
10384812,355583,9993,5,0,1,{"solution": 9},2019-10-14 07:58:48.839509+00,wrong
10384813,355583,9994,6,0,1,{"solution": 4},2019-10-14 08:14:55.87145+00,wrong
10384814,355583,9998,7,0,1,{"solution": 2347},2019-10-14 08:18:18.509964+00,wrong
10384815,355583,10000,8,1,1,{"solution": 10},2019-10-14 08:25:39.633187+00,ok
10383482,355586,9982,1,0,1,{"solution": 3},2019-10-14 07:46:50.849309+00,wrong
10383483,355586,9984,2,1,1,{"solution": 36},2019-10-14 07:46:46.390004+00,ok
10383484,355586,9987,3,0,1,"{""solution"": ""e,c,b,a,d""}",2019-10-14 07:50:37.032249+00,wrong
10383485,355586,9990,4,0,1,{"solution": 35},2019-10-14 07:54:50.877561+00,wrong
10383486,355586,9992,5,1,1,{"solution": 7},2019-10-14 07:58:19.279383+00,ok
10383487,355586,9995,6,1,1,{"solution": 4},2019-10-14 08:00:31.302319+00,ok
10383488,355586,9998,7,0,1,{"solution": 2},2019-10-14 08:06:21.797072+00,wrong
10383489,355586,9999,8,0,1,{"solution": 4},2019-10-14 08:10:47.047291+00,wrong
10383410,355587,9980,1,0,1,{"solution": 9},2019-10-14 07:49:02.772991+00,wrong
10383411,355587,9985,2,0,1,{"solution": 37},2019-10-14 07:49:06.086699+00,wrong
10383412,355587,9987,3,0,1,{"solution": "CABDE"},2019-10-14 07:49:11.572924+00,wrong
10383413,355587,9990,4,0,1,{"solution": 54},2019-10-14 07:51:40.528809+00,wrong
10383414,355587,9993,5,1,1,{"solution": 5},2019-10-14 08:08:07.48187+00,ok
10383415,355587,9995,6,0,1,{"solution": 105},2019-10-14 08:10:22.059625+00,wrong
10383416,355587,9998,7,1,1,{"solution": 5},2019-10-14 07:58:00.241936+00,ok
10383417,355587,10001,8,1,1,{"solution": 8},2019-10-14 08:01:08.390835+00,ok
10383805,355642,9980,1,0,1,{"solution": 2},2019-10-14 07:47:16.270927+00,wrong
10383806,355642,9986,2,1,1,{"solution": 37},2019-10-14 08:04:09.004569+00,ok
10383807,355642,9987,3,0,1,{"solution": "DBAC"},2019-10-14 07:57:58.219406+00,wrong
10383808,355642,9989,4,0,1,{"solution": 22},2019-10-14 08:08:28.222149+00,wrong
10383809,355642,9993,5,0,1,{"solution": 6},2019-10-14 08:10:22.265722+00,wrong
10383810,355642,9996,6,0,1,{"solution": 5},2019-10-14 08:10:31.864683+00,wrong
10383811,355642,9998,7,1,1,{"solution": 5},2019-10-14 08:11:36.09021+00,ok
10383812,355642,10002,8,0,1,{"solution": 7},2019-10-14 08:13:39.429731+00,wrong
10383723,355644,9980,1,0,1,{"solution": 7},2019-10-14 07:47:16.106956+00,wrong
10383724,355644,9985,2,0,1,{"solution": 8},2019-10-14 07:59:22.18808+00,wrong
10383725,355644,9987,3,0,1,"{""solution"": ""B,C,A,D,E""}",2019-10-14 07:55:18.101615+00,wrong
10383726,355644,9990,4,0,1,{"solution": 33},2019-10-14 08:02:20.932608+00,wrong
10383727,355644,9993,5,0,1,{"solution": 6},2019-10-14 08:04:05.823011+00,wrong
10383728,355644,9996,6,0,1,{"solution": 5},2019-10-14 08:06:29.496136+00,wrong
10383729,355644,9998,7,1,1,{"solution": 5},2019-10-14 08:11:00.999166+00,ok
10383730,355644,10002,8,0,1,{"solution": 7},2019-10-14 08:13:50.808559+00,wrong
10384255,355650,9982,1,0,1,{"solution": 7},2019-10-14 07:51:24.026231+00,wrong
10384256,355650,9986,2,0,1,{"solution": 51},2019-10-14 07:55:23.689033+00,wrong
10384257,355650,9987,3,0,1,{"solution": "ACBDE"},2019-10-14 08:01:54.482402+00,wrong
10384258,355650,9991,4,0,1,,,none
10384259,355650,9992,5,0,1,,,none
10384260,355650,9995,6,0,1,,,none
10384261,355650,9998,7,0,1,{"solution": 1},2019-10-14 08:09:34.574403+00,wrong
10384262,355650,10001,8,0,1,{"solution": 3},2019-10-14 08:13:34.393114+00,wrong
10384239,355652,9982,1,0,1,{"solution": 6},2019-10-14 07:51:38.970145+00,wrong
10384240,355652,9984,2,1,1,{"solution": 36},2019-10-14 07:57:00.288511+00,ok
10384241,355652,9987,3,0,1,,,none
10384242,355652,9988,4,0,1,{"solution": 21},2019-10-14 08:09:51.299597+00,wrong
10384243,355652,9992,5,0,1,{"solution": 5},2019-10-14 08:11:56.719294+00,wrong
10384244,355652,9996,6,0,1,{"solution": 69},2019-10-14 08:14:59.827951+00,wrong
10384245,355652,9998,7,0,1,,,none
10384246,355652,10001,8,0,1,,,none
10384684,355653,9979,1,0,1,{"solution": 4},2019-10-14 07:50:24.929245+00,wrong
10384685,355653,9984,2,1,1,{"solution": 36},2019-10-14 07:54:09.762293+00,ok
10384686,355653,9987,3,0,1,,,none
10384687,355653,9990,4,0,1,{"solution": 42},2019-10-14 08:08:26.780538+00,wrong
10384688,355653,9992,5,0,1,{"solution": 9},2019-10-14 08:13:53.148055+00,wrong
10384689,355653,9997,6,0,1,,,none
10384690,355653,9998,7,0,1,,,none
10384691,355653,10001,8,0,1,,,none
10384824,355654,9979,1,0,1,{"solution": 4},2019-10-14 07:50:33.245652+00,wrong
10384825,355654,9986,2,0,1,{"solution": 36},2019-10-14 07:54:10.834229+00,wrong
10384826,355654,9987,3,0,1,,,none
10384827,355654,9991,4,0,1,{"solution": 26},2019-10-14 08:10:34.596046+00,wrong
10384828,355654,9993,5,0,1,{"solution": 9},2019-10-14 08:16:02.892594+00,wrong
10384829,355654,9996,6,0,1,,,none
10384830,355654,9998,7,0,1,{"solution": 2513},2019-10-14 08:25:34.493764+00,wrong
10384831,355654,10000,8,0,1,,,none
10383731,355656,9982,1,0,1,{"solution": 6},2019-10-14 07:51:54.49009+00,wrong
10383732,355656,9983,2,0,1,{"solution": 2},2019-10-14 08:07:38.999033+00,wrong
10383733,355656,9987,3,0,1,{"solution": "C A B D"},2019-10-14 08:01:43.439022+00,wrong
10383734,355656,9991,4,0,1,{"solution": 22},2019-10-14 08:08:53.854167+00,wrong
10383735,355656,9992,5,0,1,{"solution": 6},2019-10-14 08:11:05.335228+00,wrong
10383736,355656,9997,6,0,1,{"solution": 5},2019-10-14 08:14:02.82787+00,wrong
10383737,355656,9998,7,1,1,{"solution": 5},2019-10-14 08:14:09.69779+00,ok
10383738,355656,10001,8,0,1,{"solution": 7},2019-10-14 08:05:21.789221+00,wrong
10384231,355658,9980,1,0,1,{"solution": 1},2019-10-14 07:52:53.649784+00,wrong
10384232,355658,9983,2,0,1,{"solution": 38},2019-10-14 07:59:08.520027+00,wrong
